from,to,kind,evidence,confidence
.agents/skills/remotion-best-practices/rules/assets/charts-bar-chart.tsx,@remotion/google-fonts/Inter,imports-external,@remotion/google-fonts/Inter,high
.agents/skills/remotion-best-practices/rules/assets/charts-bar-chart.tsx,remotion,imports-external,remotion,high
.agents/skills/remotion-best-practices/rules/assets/text-animations-typewriter.tsx,remotion,imports-external,remotion,high
.agents/skills/remotion-best-practices/rules/assets/text-animations-word-highlight.tsx,@remotion/google-fonts/Inter,imports-external,@remotion/google-fonts/Inter,high
.agents/skills/remotion-best-practices/rules/assets/text-animations-word-highlight.tsx,react,imports-external,react,high
.agents/skills/remotion-best-practices/rules/assets/text-animations-word-highlight.tsx,remotion,imports-external,remotion,high
.claude/hooks/session-guard.mjs,node:fs,imports-external,node:fs,high
.claude/hooks/session-guard.mjs,node:path,imports-external,node:path,high
.claude/hooks/session-guard.mjs,node:url,imports-external,node:url,high
.claude/hooks/session-guard.mjs,node:child_process,imports-external,node:child_process,high
apps/server/api/index.ts,@vercel/node,imports-external,@vercel/node,high
apps/server/api/index.ts,@nestjs/core,imports-external,@nestjs/core,high
apps/server/api/index.ts,@nestjs/platform-express,imports-external,@nestjs/platform-express,high
apps/server/api/index.ts,express,imports-external,express,high
apps/server/api/index.ts,apps/server/src/app.module.ts,imports,../src/app.module,high
apps/server/api/index.ts,apps/server/src/app-bootstrap.ts,imports,../src/app-bootstrap,high
apps/server/eslint.config.mjs,@eslint/js,imports-external,@eslint/js,high
apps/server/eslint.config.mjs,typescript-eslint,imports-external,typescript-eslint,high
apps/server/eslint.config.mjs,globals,imports-external,globals,high
apps/server/scripts/event-wiring.ts,node:fs,imports-external,node:fs,high
apps/server/scripts/event-wiring.ts,node:path,imports-external,node:path,high
apps/server/scripts/event-wiring.ts,node:fs,imports-external,node:fs,high
apps/server/scripts/event-wiring.ts,node:path,imports-external,node:path,high
apps/server/src/app-bootstrap.ts,@nestjs/common,imports-external,@nestjs/common,high
apps/server/src/app-bootstrap.ts,compression,imports-external,compression,high
apps/server/src/app-bootstrap.ts,helmet,imports-external,helmet,high
apps/server/src/app-bootstrap.ts,express-rate-limit,imports-external,express-rate-limit,high
apps/server/src/app-bootstrap.ts,express,imports-external,express,high
apps/server/src/app-bootstrap.ts,http,imports-external,http,high
apps/server/src/app-bootstrap.ts,apps/server/src/core/filters/http-exception.filter.ts,imports,./core/filters/http-exception.filter,high
apps/server/src/app-bootstrap.ts,apps/server/src/core/config/runtime-urls.ts,imports,./core/config/runtime-urls,high
apps/server/src/app.controller.ts,@nestjs/common,imports-external,@nestjs/common,high
apps/server/src/app.controller.ts,apps/server/src/app.service.ts,imports,./app.service,high
apps/server/src/app.controller.ts,apps/server/src/core/prisma/prisma.service.ts,imports,./core/prisma/prisma.service,high
apps/server/src/app.controller.ts,apps/server/src/modules/business-events/business-event.queue.ts,imports,./modules/business-events/business-event.queue,high
apps/server/src/app.controller.ts,@keyflow/shared/release-version,imports-external,@keyflow/shared/release-version,high
apps/server/src/app.controller.ts,apps/server/src/app.service.ts,injects,AppService,high
apps/server/src/app.controller.ts,apps/server/src/core/prisma/prisma.service.ts,injects,PrismaService,high
apps/server/src/app.controller.ts,apps/server/src/modules/business-events/business-event.queue.ts,injects,BusinessEventQueueService,high
apps/server/src/app.module.ts,@nestjs/common,imports-external,@nestjs/common,high
apps/server/src/app.module.ts,@nestjs/schedule,imports-external,@nestjs/schedule,high
apps/server/src/app.module.ts,@nestjs/core,imports-external,@nestjs/core,high
apps/server/src/app.module.ts,apps/server/src/core/tenant/tenant.interceptor.ts,imports,./core/tenant/tenant.interceptor,high
apps/server/src/app.module.ts,apps/server/src/app.controller.ts,imports,./app.controller,high
apps/server/src/app.module.ts,apps/server/src/app.service.ts,imports,./app.service,high
apps/server/src/app.module.ts,apps/server/src/core/prisma/prisma.module.ts,imports,./core/prisma/prisma.module,high
apps/server/src/app.module.ts,apps/server/src/modules/business-events/business-event.module.ts,imports,./modules/business-events/business-event.module,high
apps/server/src/app.module.ts,apps/server/src/modules/business-events/business-event.interceptor.ts,imports,./modules/business-events/business-event.interceptor,high
apps/server/src/app.module.ts,apps/server/src/modules/evidence/evidence.module.ts,imports,./modules/evidence/evidence.module,high
apps/server/src/app.module.ts,apps/server/src/modules/task-assignments/task-assignment.module.ts,imports,./modules/task-assignments/task-assignment.module,high
apps/server/src/app.module.ts,apps/server/src/modules/event-stream/event-stream.module.ts,imports,./modules/event-stream/event-stream.module,high
apps/server/src/app.module.ts,apps/server/src/modules/approvals/approval.module.ts,imports,./modules/approvals/approval.module,high
apps/server/src/app.module.ts,apps/server/src/modules/content-ops/content-ops.module.ts,imports,./modules/content-ops/content-ops.module,high
apps/server/src/app.module.ts,apps/server/src/modules/content/content.module.ts,imports,./modules/content/content.module,high
apps/server/src/app.module.ts,apps/server/src/modules/activity/activity.module.ts,imports,./modules/activity/activity.module,high
apps/server/src/app.module.ts,apps/server/src/core/event-bus/event-bus.module.ts,imports,./core/event-bus/event-bus.module,high
apps/server/src/app.module.ts,apps/server/src/core/auth/auth.module.ts,imports,./core/auth/auth.module,high
apps/server/src/app.module.ts,apps/server/src/trpc.module.ts,imports,./trpc.module,high
apps/server/src/app.module.ts,apps/server/src/modules/identity/identity.module.ts,imports,./modules/identity/identity.module,high
apps/server/src/app.module.ts,apps/server/src/modules/crm/crm.module.ts,imports,./modules/crm/crm.module,high
apps/server/src/app.module.ts,apps/server/src/modules/catalog/catalog.module.ts,imports,./modules/catalog/catalog.module,high
apps/server/src/app.module.ts,apps/server/src/modules/commerce/commerce.module.ts,imports,./modules/commerce/commerce.module,high
apps/server/src/app.module.ts,apps/server/src/modules/bookings/bookings.module.ts,imports,./modules/bookings/bookings.module,high
apps/server/src/app.module.ts,apps/server/src/modules/events/events.module.ts,imports,./modules/events/events.module,high
apps/server/src/app.module.ts,apps/server/src/modules/social/social.module.ts,imports,./modules/social/social.module,high
apps/server/src/app.module.ts,apps/server/src/modules/automation/automation.module.ts,imports,./modules/automation/automation.module,high
apps/server/src/app.module.ts,apps/server/src/modules/site/site.module.ts,imports,./modules/site/site.module,high
apps/server/src/app.module.ts,apps/server/src/modules/ai/ai.module.ts,imports,./modules/ai/ai.module,high
apps/server/src/app.module.ts,apps/server/src/modules/flow/flow.module.ts,imports,./modules/flow/flow.module,high
apps/server/src/app.module.ts,apps/server/src/modules/timeline/timeline.module.ts,imports,./modules/timeline/timeline.module,high
apps/server/src/app.module.ts,apps/server/src/modules/webhooks/webhooks.module.ts,imports,./modules/webhooks/webhooks.module,high
apps/server/src/app.module.ts,apps/server/src/modules/api-keys/api-keys.module.ts,imports,./modules/api-keys/api-keys.module,high
apps/server/src/app.module.ts,apps/server/src/core/auth/auth.middleware.ts,imports,./core/auth/auth.middleware,high
apps/server/src/app.module.ts,apps/server/src/core/middleware/correlation-id.middleware.ts,imports,./core/middleware/correlation-id.middleware,high
apps/server/src/app.module.ts,apps/server/src/core/interceptors/logging.interceptor.ts,imports,./core/interceptors/logging.interceptor,high
apps/server/src/app.module.ts,apps/server/src/modules/actions/actions.module.ts,imports,./modules/actions/actions.module,high
apps/server/src/app.module.ts,apps/server/src/modules/uploads/uploads.module.ts,imports,./modules/uploads/uploads.module,high
apps/server/src/app.module.ts,apps/server/src/modules/autopilot/autopilot.module.ts,imports,./modules/autopilot/autopilot.module,high
apps/server/src/app.module.ts,apps/server/src/modules/notifications/notifications.module.ts,imports,./modules/notifications/notifications.module,high
apps/server/src/app.module.ts,apps/server/src/modules/payments/payments.module.ts,imports,./modules/payments/payments.module,high
apps/server/src/app.module.ts,apps/server/src/modules/conversion/conversion.module.ts,imports,./modules/conversion/conversion.module,high
apps/server/src/app.module.ts,apps/server/src/modules/subscriptions/subscriptions.module.ts,imports,./modules/subscriptions/subscriptions.module,high
apps/server/src/app.module.ts,apps/server/src/modules/projects/projects.module.ts,imports,./modules/projects/projects.module,high
