event,emitter_count,listener_count,status,matched_by_pattern,emitters,listeners
a.b,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/business-events/business-event.service.spec.ts,
a.c,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/business-events/business-event.service.spec.ts,
a.d,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/business-events/business-event.service.spec.ts,
action.*,1,0,OK,TRUE,apps/server/src/modules/key-cortex/key-cortex-actions.service.ts,
action.blocked,2,1,OK,,apps/server/src/modules/ai/action-dispatcher.service.ts apps/server/src/modules/ai/graph-actions.controller.ts,apps/server/src/modules/ai/ai.listener.ts
action.executed,3,1,OK,,apps/server/src/modules/ai/action-dispatcher.service.ts apps/server/src/modules/ai/graph-actions.controller.ts apps/server/src/modules/ai/queue.service.ts,apps/server/src/modules/ai/ai.listener.ts
action.failed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/queue.service.ts,
action.undone,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/undo.service.ts,
agent.message,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/agent-bus.service.ts,
agent.message.*,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/agent-bus.service.ts,
agent.state_changed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/agent-state-machine.service.ts,
app.event,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/temporal-flow/temporal-flow.service.spec.ts,
approval.auto_approved,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/approvals/approval-request.service.ts,
approval.cancelled,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/approvals/approval-request.service.ts,
approval.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/approvals/approval-request.service.ts,
approval.delegated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/approvals/approval-request.service.ts,
approval.escalated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/approvals/approval-request.service.ts,
approval.step_*d,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/approvals/approval-request.service.ts,
asset.created,2,0,EMITTED_NO_LISTENER,,apps/server/src/modules/assets/asset.service.ts apps/server/src/modules/business-assets/business-assets.service.ts,
asset.deleted,2,0,EMITTED_NO_LISTENER,,apps/server/src/modules/assets/asset.service.ts apps/server/src/modules/business-assets/business-assets.service.ts,
asset.expiring_soon,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/business-assets/business-assets.service.ts,
asset.tagged,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/assets/asset.service.ts,
asset.updated,2,0,EMITTED_NO_LISTENER,,apps/server/src/modules/assets/asset.service.ts apps/server/src/modules/business-assets/business-assets.service.ts,
asset.used,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/assets/asset.service.ts,
autopilot.task.auto_executed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
autopilot.task.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
bill.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/expenses/expenses.service.ts,
bill.paid,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/expenses/expenses.service.ts,
booking.cancelled,1,8,OK,,apps/server/src/modules/bookings/bookings.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/bookings/booking-no-show.listener.ts apps/server/src/modules/bookings/booking-waitlist.listener.ts apps/server/src/modules/calendar/listeners/bookings.listener.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/cross-module-agent.service.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/growth-intelligence/journey-listener.service.ts
booking.completed,1,11,OK,,apps/server/src/modules/bookings/bookings.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/bookings/booking-optimizer.service.ts apps/server/src/modules/calendar/listeners/bookings.listener.ts apps/server/src/modules/conversion/referral-reward.service.ts apps/server/src/modules/conversion/review-solicitation.service.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/cross-module-agent.service.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/growth-intelligence/journey-listener.service.ts apps/server/src/modules/projects/project-revenue.listener.ts apps/server/src/modules/webhooks/webhook-dispatcher.service.ts
booking.confirmed,1,7,OK,,apps/server/src/modules/bookings/bookings.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/calendar/listeners/bookings.listener.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/automation-executor.service.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/growth-intelligence/journey-listener.service.ts apps/server/src/modules/webhooks/webhook-dispatcher.service.ts
booking.created,3,9,OK,,apps/server/src/modules/bookings/bookings.service.ts apps/server/test/ai.listener.test.ts packages/api/src/routers/bookings.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/calendar/listeners/bookings.listener.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/automation-executor.service.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/gamification/gamification.listener.ts apps/server/src/modules/growth-intelligence/journey-listener.service.ts apps/server/src/modules/webhooks/webhook-dispatcher.service.ts apps/server/src/modules/whatsapp/whatsapp-notifications.listener.ts
booking.deleted,0,1,LISTENED_NEVER_EMITTED,,,apps/server/src/modules/calendar/listeners/bookings.listener.ts
booking.invoice_created,1,1,OK,,apps/server/src/modules/bookings/bookings.service.ts,apps/server/src/modules/crm/revenue-event.listener.ts
booking.no_show,1,2,OK,,apps/server/src/modules/bookings/bookings.service.ts,apps/server/src/modules/bookings/booking-no-show.listener.ts apps/server/src/modules/flow/flow.listener.ts
booking.rescheduled,1,7,OK,,apps/server/src/modules/bookings/bookings.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/bookings/booking-waitlist.listener.ts apps/server/src/modules/calendar/listeners/bookings.listener.ts apps/server/src/modules/flow/activity-event.listener.ts apps/server/src/modules/flow/cross-module-agent.service.ts apps/server/src/modules/flow/flow.listener.ts apps/server/src/modules/growth-intelligence/journey-listener.service.ts
booking.waitlist.added,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/bookings/booking-waitlist.service.ts,
booking.waitlist.cancelled,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/bookings/booking-waitlist.service.ts,
booking.waitlist.converted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/bookings/booking-waitlist.service.ts,
booking.waitlist.slot_offered,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/bookings/booking-waitlist.service.ts,
briefing.generated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/ai/morning-briefing.service.ts,
business_event.anomaly_detected,1,2,OK,,apps/server/src/modules/business-events/business-event-anomaly.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts apps/server/src/modules/key-cortex/key-cortex-immune.service.ts
business_event.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/business-events/business-event.service.ts,
calendar_event.actions_suggested,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/calendar/calendar-action-intelligence.service.ts,
calendar_event.created,3,1,OK,,apps/server/src/core/connectors/implementations/google-calendar.connector.ts apps/server/src/modules/calendar/listeners/connector.listener.ts apps/server/test/calendar-action-intelligence.smoke.test.ts,apps/server/src/modules/calendar/listeners/connector.listener.ts
calendar_event.updated,3,1,OK,,apps/server/src/core/connectors/implementations/google-calendar.connector.ts apps/server/src/modules/calendar/listeners/connector.listener.ts apps/server/test/calendar-action-intelligence.smoke.test.ts,apps/server/src/modules/calendar/listeners/connector.listener.ts
calendar.event,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/temporal-flow/temporal-flow.service.spec.ts,
call_log.completed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.created_from_next_action,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.deleted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.follow_up_created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
call_log.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/call-tasks/call-log.service.ts,
campaign.briefing_generated,1,1,OK,,apps/server/src/modules/email-marketing/campaign-intelligence.service.ts,apps/server/src/modules/ai/ai.listener.ts
campaign.created,1,2,OK,,apps/server/src/modules/email-marketing/email-marketing.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/calendar/listeners/marketing.listener.ts
campaign.sent,4,3,OK,,apps/server/src/core/connectors/implementations/klaviyo.connector.ts apps/server/src/core/connectors/implementations/mailchimp.connector.ts apps/server/src/modules/email-marketing/email-marketing.service.ts apps/server/test/ai.listener.test.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/calendar/listeners/marketing.listener.ts apps/server/src/modules/flow/cross-module-agent.service.ts
catalog.product.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.product.deleted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.product.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.service.created,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
catalog.service.deleted,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/catalog/catalog.service.ts,
