path,workspace,module,kind,lines,classes,imports_count,injects_count,fan_in,routes,emits,listens,cron,prisma_models,orphan
.agents/skills/brainstorming/scripts/helper.js,(root),,js,89,,0,0,0,0,,,,,TRUE
.agents/skills/brainstorming/scripts/server.js,(root),,js,339,,0,0,0,0,,,,,TRUE
.agents/skills/remotion-best-practices/rules/assets/charts-bar-chart.tsx,(root),,component,174,,2,0,0,0,,,,,TRUE
.agents/skills/remotion-best-practices/rules/assets/text-animations-typewriter.tsx,(root),,component,101,,1,0,0,0,,,,,TRUE
.agents/skills/remotion-best-practices/rules/assets/text-animations-word-highlight.tsx,(root),,component,104,,3,0,0,0,,,,,TRUE
.claude/hooks/session-guard.mjs,(root),,mjs,593,,4,0,0,0,,,,,TRUE
apps/server/api/index.ts,apps/server,,ts,31,,6,0,0,0,,,,,TRUE
apps/server/eslint.config.mjs,apps/server,,mjs,24,,3,0,0,0,,,,,TRUE
apps/server/scripts/event-wiring.ts,apps/server,,ts,326,,4,0,1,0,,,,,FALSE
apps/server/src/app-bootstrap.ts,apps/server,(server root),ts,130,,8,0,2,0,,,,,FALSE
apps/server/src/app.controller.ts,apps/server,(server root),controller,74,AppController,5,3,1,4,,,,,FALSE
apps/server/src/app.module.ts,apps/server,(server root),nest-module,284,AppModule,125,0,4,0,,,,,FALSE
apps/server/src/app.service.ts,apps/server,(server root),service,8,AppService,1,0,3,0,,,,,FALSE
apps/server/src/core/auth/admin-token.util.spec.ts,apps/server,core/auth,spec,103,,2,0,0,0,,,,,FALSE
apps/server/src/core/auth/admin-token.util.ts,apps/server,core/auth,ts,83,,2,0,6,0,,,,,FALSE
apps/server/src/core/auth/admin.guard.ts,apps/server,core/auth,guard,24,AdminGuard,1,0,4,0,,,,,FALSE
apps/server/src/core/auth/auth.guard.ts,apps/server,core/auth,guard,13,AuthGuard,1,0,172,0,,,,,FALSE
apps/server/src/core/auth/auth.middleware.spec.ts,apps/server,core/auth,spec,213,,3,0,0,0,,,,user,FALSE
apps/server/src/core/auth/auth.middleware.ts,apps/server,core/auth,ts,169,AuthMiddleware,7,3,4,0,,,,user,FALSE
apps/server/src/core/auth/auth.module.ts,apps/server,core/auth,nest-module,29,AuthModule,7,0,15,0,,,,,FALSE
apps/server/src/core/auth/business.guard.ts,apps/server,core/auth,guard,57,BusinessGuard,2,1,168,0,,,,business,FALSE
apps/server/src/core/auth/genome-gate.guard.spec.ts,apps/server,core/auth,spec,73,,4,0,0,0,,,,,FALSE
apps/server/src/core/auth/genome-gate.guard.ts,apps/server,core/auth,guard,33,GenomeGateGuard,3,1,7,0,,,,,FALSE
apps/server/src/core/auth/module-scope.guard.ts,apps/server,core/auth,guard,88,ModuleScopeGuard,3,2,49,0,,,,membership,FALSE
apps/server/src/core/auth/optional-auth.guard.ts,apps/server,core/auth,guard,16,OptionalAuthGuard,1,0,5,0,,,,,FALSE
apps/server/src/core/auth/public-surface.spec.ts,apps/server,core/auth,spec,226,,3,0,0,0,,,,,FALSE
