model,has_businessId,indexed_on_businessId,field_count,relation_count,reader_modules,writer_modules,accessed_by_module_count,unreferenced
User,FALSE,,25,7,(root) admin-analytics admin-auth admin-platform ai commerce core/auth core/seed crm documents google-drive identity key-cortex projects risc task-assignments,apps/server calendar core/seed identity risc,18,FALSE
UserIdentity,FALSE,,8,1,risc,identity,2,FALSE
Business,FALSE,,432,38,(root) admin-analytics admin-platform ai analytics apps/server apps/voice-agent autopilot blueprint bookings business-genesis calendar commerce communications community connect conversion core/auth core/connectors crm diagnostics documents email-marketing finance gamification google-drive growth-intelligence identity intelligence key-cortex marketplace momentum notifications onboarding-concierge os packages/api payments projects public-events reports security-audit seo site social whatsapp,(root) apps/server autopilot bookings business-genesis calendar commerce connect conversion core/connectors crm finance gamification google-drive identity marketplace notifications onboarding-concierge packages/api packages/db seo site templates whatsapp,47,FALSE
Event,TRUE,TRUE,17,1,events packages/api,events packages/api,2,FALSE
EventTicketType,FALSE,,15,1,events packages/api,events packages/api,2,FALSE
EventAttendee,TRUE,TRUE,15,2,events packages/api payments,events packages/api,3,FALSE
EventCheckIn,FALSE,,8,2,,events packages/api,2,FALSE
BusinessAsset,TRUE,TRUE,15,1,business-assets,business-assets,1,FALSE
Contract,TRUE,TRUE,29,1,contracts,contracts,1,FALSE
ContractParty,TRUE,TRUE,13,1,,contracts,1,FALSE
ContractTerm,TRUE,TRUE,9,1,,contracts,1,FALSE
ContractVersion,TRUE,TRUE,11,1,,contracts,1,FALSE
ContractAlert,TRUE,TRUE,9,1,contracts,contracts,1,FALSE
ContractTag,TRUE,TRUE,7,1,contracts,contracts,1,FALSE
ContractTagOnContract,FALSE,,5,2,,contracts,1,FALSE
TemporalFlowEvent,TRUE,TRUE,33,1,temporal-flow,temporal-flow,1,FALSE
FlowSignal,TRUE,TRUE,27,1,flow-signal,flow-signal,1,FALSE
FlowRoleSubscription,TRUE,TRUE,12,1,,,0,TRUE
TemporalFlowMemory,TRUE,TRUE,13,1,key-cortex temporal-flow,temporal-flow,2,FALSE
GenomeEvolutionProposal,TRUE,TRUE,16,1,business-genome key-cortex,business-genome key-cortex,2,FALSE
GenomeFact,TRUE,TRUE,24,1,business-genome,business-genome,1,FALSE
GenomeEvidence,TRUE,TRUE,12,2,business-genome,business-genome,1,FALSE
GenomeSignal,TRUE,TRUE,17,1,business-genome,business-genome,1,FALSE
GenomeModuleReadiness,TRUE,TRUE,13,1,business-genome,business-genome,1,FALSE
GenomeRecommendation,TRUE,TRUE,19,1,business-genome key-cortex,business-genome key-autonomy,3,FALSE
GenomeRecommendationOutcome,TRUE,TRUE,25,1,business-genome,business-genome key-cortex,2,FALSE
GenomeOutcomeLearningWindow,TRUE,TRUE,6,1,,business-genome,1,FALSE
GenomeExperiment,TRUE,TRUE,15,1,business-genome,business-genome,1,FALSE
GenomeDepartment,TRUE,TRUE,21,1,business-genome,business-genome,1,FALSE
GenomeMemoryEvent,TRUE,TRUE,18,1,business-genome key-cortex,business-genome,2,FALSE
GenomeFinancialMetric,TRUE,TRUE,15,1,business-genome,business-genome,1,FALSE
GenomeFinanceSnapshot,TRUE,TRUE,27,1,business-genome,business-genome,1,FALSE
GenomeCustomerSegment,TRUE,TRUE,21,1,business-genome,business-genome,1,FALSE
GenomeSalesMotion,TRUE,TRUE,21,1,business-genome,business-genome,1,FALSE
GenomeCustomerSalesSnapshot,TRUE,TRUE,26,1,business-genome,business-genome,1,FALSE
GenomeOperationalProcess,TRUE,TRUE,27,1,business-genome,business-genome,1,FALSE
