module,files,lines,nest_modules,mounted,controllers,services,routes,specs,has_tests,unmounted_with_routes
key-cortex,249,70587,KeyCortexModule,TRUE,3,121,92,106,TRUE,
ai,142,47994,AiModule,TRUE,11,65,168,51,TRUE,
crm,89,25919,CrmModule,TRUE,9,39,193,7,TRUE,
commerce,74,17849,CommerceModule DocumentTemplateModule,TRUE,12,28,151,4,TRUE,
business-genome,88,15389,BusinessGenomeModule GenomeDocumentPackModule KeyGenomeModule,TRUE,4,35,107,35,TRUE,
finance,50,11051,FinanceModule,TRUE,1,32,113,11,TRUE,
core/connectors,47,9809,ConnectorModule,TRUE,3,11,22,4,TRUE,
site,20,7351,SiteModule,TRUE,2,11,66,1,TRUE,
communications,27,6240,CommunicationsModule,TRUE,4,14,69,3,TRUE,
flow,17,5444,FlowModule,TRUE,1,7,18,0,FALSE,
calendar,25,5204,CalendarModule,TRUE,1,9,22,3,TRUE,
bookings,20,4854,BookingsModule,TRUE,2,5,51,4,TRUE,
marketplace,7,4661,MarketplaceModule,TRUE,2,3,54,0,FALSE,
identity,17,4360,IdentityModule,TRUE,1,5,35,0,FALSE,
community,12,4233,CommunityModule,TRUE,1,7,97,0,FALSE,
key-connector,13,4146,KeyConnectorModule,TRUE,1,5,10,2,TRUE,
connect,14,3817,ConnectModule,TRUE,2,9,46,0,FALSE,
key-autonomy,34,3467,KeyAutonomyModule,TRUE,2,15,9,10,TRUE,
business-genesis,32,3387,BusinessGenesisModule,TRUE,2,11,13,7,TRUE,
key-inbox,21,3186,KeyInboxModule,TRUE,1,7,14,5,TRUE,
email-marketing,9,3153,EmailMarketingModule,TRUE,3,5,34,0,FALSE,
intelligence,21,2730,IntelligenceModule,TRUE,3,8,16,4,TRUE,
social,16,2728,SocialModule,TRUE,1,7,22,1,TRUE,
autopilot,8,2697,AutopilotModule,TRUE,1,3,21,3,TRUE,
blueprint,7,2525,BlueprintModule,TRUE,1,1,12,2,TRUE,
payments,8,2474,PaymentsModule,TRUE,2,3,20,1,TRUE,
notifications,9,2382,NotificationsModule,TRUE,1,3,7,2,TRUE,
reports,6,2257,ReportsModule,TRUE,1,2,9,1,TRUE,
expenses,6,2041,ExpensesModule,TRUE,3,2,32,0,FALSE,
documents,5,2029,DocumentsModule,TRUE,1,1,23,0,FALSE,
google-drive,4,2011,GoogleDriveModule,TRUE,1,2,31,0,FALSE,
onboarding-concierge,16,1954,OnboardingConciergeModule,TRUE,1,3,16,4,TRUE,
projects,9,1892,ProjectsModule,TRUE,1,3,31,1,TRUE,
temporal-flow,17,1877,TemporalFlowModule,TRUE,1,4,11,5,TRUE,
growth-intelligence,8,1835,GrowthIntelligenceModule,TRUE,1,5,9,1,TRUE,
command,13,1713,CommandModule,TRUE,1,3,21,1,TRUE,
public-events,8,1711,PublicEventsModule,TRUE,2,3,7,0,FALSE,
seo,8,1605,SeoModule,TRUE,1,4,26,0,FALSE,
analytics,7,1477,AnalyticsModule,TRUE,1,5,14,0,FALSE,
contracts,11,1391,ContractsModule,TRUE,1,2,11,3,TRUE,
keystore,15,1390,KeystoreModule,TRUE,2,1,21,1,TRUE,
structure,14,1352,StructureModule,TRUE,1,3,22,1,TRUE,
whatsapp,6,1343,WhatsAppModule,TRUE,1,1,13,2,TRUE,
business-command-center,8,1322,BusinessCommandCenterModule,TRUE,1,2,1,3,TRUE,
flow-signal,12,1260,FlowSignalModule,TRUE,2,3,7,4,TRUE,
supplier,9,1260,SupplierModule,TRUE,1,2,22,0,FALSE,
momentum,5,1254,MomentumModule,TRUE,1,3,9,0,FALSE,
diagnostics,3,1172,DiagnosticsModule,TRUE,1,1,7,0,FALSE,
subscriptions,7,1150,SubscriptionsModule,TRUE,1,1,12,2,TRUE,
task-assignments,12,1118,TaskAssignmentModule,TRUE,1,2,8,4,TRUE,
device,4,1058,DeviceModule,TRUE,1,2,13,0,FALSE,
conversion,9,1027,ConversionModule,TRUE,1,7,14,0,FALSE,
content-ops,12,980,ContentOpsModule,TRUE,1,3,17,2,TRUE,
events,14,975,EventsModule,TRUE,1,4,15,0,FALSE,
core/auth,17,964,AuthModule,TRUE,0,2,0,5,TRUE,
call-tasks,12,923,CallTaskModule,TRUE,1,2,10,3,TRUE,
ingestion,9,900,IngestionModule,TRUE,1,3,5,2,TRUE,
business-events,8,837,BusinessEventModule,TRUE,0,3,0,1,TRUE,
core/event-bus,3,805,EventBusModule,TRUE,0,0,0,1,TRUE,
time-tracking,5,787,TimeTrackingModule,TRUE,1,1,11,2,TRUE,
continental-ops,9,732,ContinentalOpsModule,TRUE,4,4,24,0,FALSE,
(server root),12,675,AppModule TrpcModule,TRUE,1,1,4,2,TRUE,
catalog,6,670,CatalogModule,TRUE,1,1,11,2,TRUE,
approvals,9,659,ApprovalModule,TRUE,1,1,9,2,TRUE,
keyflow-command,5,621,KeyflowCommandModule,TRUE,1,3,8,0,FALSE,
core/seed,2,616,SeedModule,TRUE,0,1,0,0,FALSE,
