method,path,normalized_path,handler,controller,controller_file,module,declaring_module,mounted,guards,guard_count,scopes,body_auth_check,unguarded
GET,/,/,getHello,AppController,apps/server/src/app.controller.ts,(server root),AppModule,TRUE,,0,,,TRUE
GET,/healthz,/healthz,healthz,AppController,apps/server/src/app.controller.ts,(server root),AppModule,TRUE,,0,,,TRUE
GET,/readyz,/readyz,readyz,AppController,apps/server/src/app.controller.ts,(server root),AppModule,TRUE,,0,,,TRUE
GET,/healthz/events,/healthz/events,eventHealth,AppController,apps/server/src/app.controller.ts,(server root),AppModule,TRUE,,0,,,TRUE
GET,/connectors/businesses/:businessId/dashboard,/connectors/businesses/:param/dashboard,getDashboard,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
GET,/connectors/businesses/:businessId/list,/connectors/businesses/:param/list,listConnectors,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
GET,/connectors/businesses/:businessId/statuses,/connectors/businesses/:param/statuses,getStatuses,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
GET,/connectors/businesses/:businessId/health/:type,/connectors/businesses/:param/health/:param,getHealth,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/sync/:type,/connectors/businesses/:param/sync/:param,sync,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/disconnect/:type,/connectors/businesses/:param/disconnect/:param,disconnect,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/authenticate/:type,/connectors/businesses/:param/authenticate/:param,authenticate,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/reconnect/:type,/connectors/businesses/:param/reconnect/:param,reconnect,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/test/:type,/connectors/businesses/:param/test/:param,test,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/smoke/:type,/connectors/businesses/:param/smoke/:param,smoke,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
GET,/connectors/businesses/:businessId/needs-attention,/connectors/businesses/:param/needs-attention,needsAttention,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/health-check/run,/connectors/businesses/:param/health-check/run,runHealthCheck,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
GET,/connectors/businesses/:businessId/inbox-config/:type,/connectors/businesses/:param/inbox-config/:param,getInboxConfig,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
PATCH,/connectors/businesses/:businessId/inbox-config/:type,/connectors/businesses/:param/inbox-config/:param,updateInboxConfig,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
GET,/connectors/businesses/:businessId/credentials/:type,/connectors/businesses/:param/credentials/:param,getCredentials,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
POST,/connectors/businesses/:businessId/credentials/:type,/connectors/businesses/:param/credentials/:param,saveCredentials,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
DELETE,/connectors/businesses/:businessId/credentials/:type,/connectors/businesses/:param/credentials/:param,deleteCredentials,ConnectorController,apps/server/src/core/connectors/connector.controller.ts,core/connectors,ConnectorModule,TRUE,AuthGuard BusinessGuard,2,,,FALSE
